id,name,carrier,state,tier,brand_or_generic,created_at,updated_at
3879,Doxycycline monohydrate,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3880,Minocycline,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3881,Tetracycline,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3882,Clotrimazole,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3883,Fluconazole,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3884,Flucytosine,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3885,Griseofulvin,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3886,Itraconazole,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3887,Ketoconazole,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3888,Nystatin,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3889,Terbinafine,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3890,Voriconazole,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3891,Atovaquone/Proguanil,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3892,Chloroquine,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3893,Mefloquine,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3894,Primaquine,Anthem Blue Cross,CA,Primaquine,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3895,Primaquine,Anthem Blue Cross,CA,Primaquine,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3896,Pyrimethamine,Anthem Blue Cross,CA,Daraprim,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3897,Daraprim,Anthem Blue Cross,CA,Daraprim,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3898,Pyrimethamine/Sulfadoxine,Anthem Blue Cross,CA,Fansidar,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3899,Fansidar,Anthem Blue Cross,CA,Fansidar,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3900,Quinine,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3901,Cycloserine,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3902,Ethambutol,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3903,Ethionamide,Anthem Blue Cross,CA,Trecator-SC,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3904,Trecator-SC,Anthem Blue Cross,CA,Trecator-SC,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3905,Isoniazid,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3906,Pyrazinamide,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3907,Rifabutin,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3908,Rifampin,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3909,Clindamycin,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3910,Iodoquinol,Anthem Blue Cross,CA,Yodoxin,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3911,Yodoxin,Anthem Blue Cross,CA,Yodoxin,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3912,Metronidazole,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3913,Tinidazole,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3914,Trimethoprim,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3915,Vancomycin capsule,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3916,Acyclovir,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3917,Amantadine,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3918,Entecavir,Anthem Blue Cross,CA,Baraclude,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3919,Baraclude,Anthem Blue Cross,CA,Baraclude,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3920,Famciclovir,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3921,Ganciclovir,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3922,Interferon Alfa-2B,Anthem Blue Cross,CA,Intron A,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3923,Intron A,Anthem Blue Cross,CA,Intron A,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3924,Interferon Alfacon-1,Anthem Blue Cross,CA,Infergen,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3925,Infergen,Anthem Blue Cross,CA,Infergen,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3926,Lamivudine,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3927,Oseltamivir,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3928,Peginterferon Alfa-2B,Anthem Blue Cross,CA,Peg-Intron,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3929,Peg-Intron,Anthem Blue Cross,CA,Peg-Intron,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3930,Peginterferon Alfa-2A,Anthem Blue Cross,CA,Pegasys,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3931,Pegasys,Anthem Blue Cross,CA,Pegasys,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3932,Ribavirin,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3933,Tenofovir,Anthem Blue Cross,CA,Viread,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3934,Viread,Anthem Blue Cross,CA,Viread,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3935,Valacyclovir,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3936,Valganciclovir,Anthem Blue Cross,CA,Valcyte,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3937,Valcyte,Anthem Blue Cross,CA,Valcyte,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3938,Acetaminophen/Codeine,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3939,Aspirin/Codeine,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3940,Codeine Phosphate/Sulfate,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3941,Fentanyl,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3942,Fentanyl Citrate,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3943,Hydrocodone/Acetaminophen,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3944,"Hydromorphone, ER",Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3945,Meperidine,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3946,Methadone,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3947,Morphine,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3948,"Morphine Sulfate, ER",Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3949,Oxycodone/Acetaminophen,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3950,Oxycodone/Aspirin,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3951,Oxycododone,Anthem Blue Cross,CA,Oxycontin,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3952,Oxycontin,Anthem Blue Cross,CA,Oxycontin,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3953,"Oxymorphone, ER",Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3954,Propoxyphene,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3955,Propoxyphene Compound,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3956,Propoxyphene/Acetaminophen,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3957,APAP/Isometheptene/Dichlphen,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3958,Acetaminophen/Caffeine/Butalbital,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3959,Aspirin/Caffeine/Butalbital,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3960,Ergotamine,Anthem Blue Cross,CA,Ergomar,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3961,Ergomar,Anthem Blue Cross,CA,Ergomar,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3962,Ergotamine/Caffeine,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3963,Lidocaine,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3964,Methysergide,Anthem Blue Cross,CA,Sansert,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3965,Sansert,Anthem Blue Cross,CA,Sansert,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3966,Naratriptan,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3967,"Rizatriptan, ODT",Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3968,Sumatriptan,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3969,Tramadol/-ER,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3970,"Zolmitriptan, ODT",Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3971,Diclofenac,Anthem Blue Cross,CA,generic/Voltaren Gel,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3972,Voltaren Gel,Anthem Blue Cross,CA,generic/Voltaren Gel,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3973,Etodolac,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3974,Flurbiprofen,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3975,Ibuprofen,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3976,Indomethacin,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3977,Ketoprofen,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3978,Ketorolac,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3979,Mefenamic acid,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3980,Nabumetone,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3981,Naproxen,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3982,Oxaprozin,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3983,Piroxicam,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3984,Sulindac,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3985,Aspirin,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3986,Chol Sal/Magnesium Salicylate,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3987,Diflunisal,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3988,Salsalate,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3989,Clonazepam,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3990,Diazepam,Anthem Blue Cross,CA,generic/Diastat,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3991,Diastat,Anthem Blue Cross,CA,generic/Diastat,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3992,Divalproex Sodium,Anthem Blue Cross,CA,generic/Depakote/ER,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3993,Depakote,Anthem Blue Cross,CA,generic/Depakote/ER,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3994,Depakote ER,Anthem Blue Cross,CA,generic/Depakote/ER,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3995,Ethosuximide,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3996,Felbamate,Anthem Blue Cross,CA,generic/Felbatol,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3997,Felbatol,Anthem Blue Cross,CA,generic/Felbatol,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3998,Gabapentin,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3999,Tiagabine,Anthem Blue Cross,CA,"Gabitril, generic",generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4000,Levetiracetam,Anthem Blue Cross,CA,generics/Keppra/XR,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4001,Keppra,Anthem Blue Cross,CA,generics/Keppra/XR,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4002,Keppra XR,Anthem Blue Cross,CA,generics/Keppra/XR,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4003,"Lamotrigine, ER",Anthem Blue Cross,CA,generic/Lamictal,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4004,Lamictal,Anthem Blue Cross,CA,generic/Lamictal,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4005,Phenobarbital,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4006,Phenytoin,Anthem Blue Cross,CA,Dilantin/Phenytek/generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4007,Dilantin,Anthem Blue Cross,CA,Dilantin/Phenytek/generic,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4008,Phenytek,Anthem Blue Cross,CA,Dilantin/Phenytek/generic,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4009,Primidone,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4010,Oxcarbazepine,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4011,Topiramate,Anthem Blue Cross,CA,generic/Topamax,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4012,Topamax,Anthem Blue Cross,CA,generic/Topamax,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4013,Valproic Acid,Anthem Blue Cross,CA,Depakene/generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4014,Depakene,Anthem Blue Cross,CA,Depakene/generic,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4015,Zonisamide,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4016,Akineton,Anthem Blue Cross,CA,Biperiden,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4017,Biperiden,Anthem Blue Cross,CA,Biperiden,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4018,Amantadine,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4019,Benztropine,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4020,Bromocriptine,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4021,Carbidopa,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4022,Carbidopa/Levodopa,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4023,Carbidopa/Levodopa/ Entacapone,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4024,Entacapone,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4025,Levodopa,Anthem Blue Cross,CA,Laradopa,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4026,Laradopa,Anthem Blue Cross,CA,Laradopa,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4027,Procyclidine,Anthem Blue Cross,CA,Kemadrin,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4028,Kemadrin,Anthem Blue Cross,CA,Kemadrin,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4029,Pramipexole,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4030,Rasagiline mesylate,Anthem Blue Cross,CA,Azilect,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4031,Azilect,Anthem Blue Cross,CA,Azilect,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4032,"Ropinirole, ER",Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4033,Selegiline,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4034,Trihexyphenidyl,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4035,Donepezil,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4036,Memantine,Anthem Blue Cross,CA,Namenda/XR,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4037,Namenda/XR,Anthem Blue Cross,CA,Namenda/XR,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4038,Rivastigmine,Anthem Blue Cross,CA,"generic, Exelon patch",generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4039,Adderall XR,Anthem Blue Cross,CA,Adderall XR/generic,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4040,Atomoxetine,Anthem Blue Cross,CA,Strattera,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4041,Strattera,Anthem Blue Cross,CA,Strattera,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4042,Dexmethylphenidate,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4043,Dexmethylphenidate XR,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4044,Dextroamphetamine,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4045,Lisdexamphetamine,Anthem Blue Cross,CA,Vyvanse,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4046,Vyvanse,Anthem Blue Cross,CA,Vyvanse,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4047,Methamphetamine,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4048,Methylphenidate CD,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4049,Methylphenidate ER,Anthem Blue Cross,CA,Methylin ER/generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4050,Methylin ER,Anthem Blue Cross,CA,Methylin ER/generic,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4051,Methylphenidate,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4052,Modafinil,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4053,Glatiramer Acetate,Anthem Blue Cross,CA,Copaxone 20mg,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4054,Copaxone 20mg,Anthem Blue Cross,CA,Copaxone 20mg,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4055,Interferon Beta-1A,Anthem Blue Cross,CA,Avonex,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4056,Avonex,Anthem Blue Cross,CA,Avonex,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4057,Interferon Beta-1A,Anthem Blue Cross,CA,Rebif,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4058,Rebif,Anthem Blue Cross,CA,Rebif,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4059,Interferon Beta-1B,Anthem Blue Cross,CA,Betaseron,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
4060,Betaseron,Anthem Blue Cross,CA,Betaseron,brand,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
